Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results
Sports,SKU2268,205,Out of Stock,516,49791,Senior,144,18,5,4,UPS,82.23,Prime Distributors,India,9307,34,8215,Recheck
Home,SKU2269,233,In Stock,856,24072,Teen,31,9,79,6,USPS,46.24,SupplyHub,Germany,3260,7,7185,Fail
Clothing,SKU2270,294,Limited,123,375,Senior,1,10,3,3,DHL,37.53,Global Supplies Inc.,Egypt,3374,12,6341,Pass
Toys,SKU2271,342,In Stock,263,6418,Adult,380,3,74,9,DHL,62.63,Global Supplies Inc.,India,8992,23,6415,Recheck
Home,SKU2272,232,Out of Stock,994,28851,Senior,340,5,7,8,USPS,54.39,MegaCorp,USA,7568,27,6833,Recheck
Sports,SKU2273,297,In Stock,638,11027,Senior,490,23,65,9,DHL,62.63,Prime Distributors,USA,1157,39,5043,Recheck
Clothing,SKU2274,224,In Stock,846,40439,Senior,195,2,93,4,USPS,98.24,MegaCorp,India,5078,14,5771,Pass
Toys,SKU2275,222,In Stock,827,24505,Senior,122,28,11,8,USPS,71.04,FastTrack Ltd.,USA,6743,42,485,Pass
Sports,SKU2276,336,Out of Stock,888,15457,Senior,103,13,46,13,UPS,64.19,Prime Distributors,Germany,1287,14,5199,Pass
Toys,SKU2277,100,In Stock,656,44945,Adult,395,10,34,4,FedEx,66.8,MegaCorp,India,7205,50,8495,Recheck
Electronics,SKU2278,269,Out of Stock,677,22094,Senior,399,8,22,9,DHL,63.39,FastTrack Ltd.,USA,7145,22,2997,Fail
Clothing,SKU2279,32,In Stock,31,32728,Teen,3,20,53,3,DHL,32.67,FastTrack Ltd.,China,2410,11,3815,Pass
Sports,SKU2280,225,In Stock,586,17803,Teen,203,8,46,11,Aramex,71.42,MegaCorp,China,6527,4,7855,Fail
Home,SKU2281,126,In Stock,109,10584,Adult,173,21,83,8,Aramex,88.81,FastTrack Ltd.,China,4587,28,3562,Fail
Clothing,SKU2282,450,In Stock,332,42698,Senior,192,26,55,2,FedEx,77.77,Global Supplies Inc.,Germany,5950,44,9454,Pass
Sports,SKU2283,100,In Stock,915,9201,Adult,352,9,72,2,USPS,49.55,MegaCorp,India,7586,11,6170,Recheck
Electronics,SKU2284,36,In Stock,306,20524,Senior,146,4,82,12,UPS,93.79,SupplyHub,USA,6575,41,8137,Fail
Toys,SKU2285,416,Out of Stock,172,21978,Adult,441,1,6,11,DHL,76.9,MegaCorp,Egypt,3117,2,4781,Fail
Sports,SKU2286,38,In Stock,456,38457,Teen,32,28,61,11,FedEx,90.96,Global Supplies Inc.,USA,9129,49,9896,Fail
Electronics,SKU2287,214,In Stock,41,12189,Adult,349,29,67,10,FedEx,40.04,Prime Distributors,Germany,674,6,2569,Recheck
Toys,SKU2288,351,In Stock,434,36576,Senior,400,5,73,6,USPS,69.85,Prime Distributors,India,1527,6,2675,Recheck
Clothing,SKU2289,202,Out of Stock,16,49789,Adult,200,18,95,6,FedEx,14.03,Prime Distributors,India,4384,9,4740,Pass
Toys,SKU2290,482,In Stock,271,17683,Senior,234,11,21,2,FedEx,41.27,SupplyHub,Germany,1077,43,4287,Fail
Home,SKU2291,23,In Stock,750,44200,Adult,148,25,69,1,Aramex,87.95,FastTrack Ltd.,Egypt,3317,32,7843,Recheck
Home,SKU2292,148,Limited,719,29239,Adult,160,12,18,7,FedEx,12.3,FastTrack Ltd.,China,1049,41,7184,Recheck
Clothing,SKU2293,134,Out of Stock,402,11162,Adult,355,19,98,11,DHL,21.77,MegaCorp,Egypt,9082,36,2776,Pass
Clothing,SKU2294,350,Out of Stock,345,34645,Adult,382,3,56,5,UPS,86.78,Prime Distributors,China,7442,1,253,Pass
Home,SKU2295,223,In Stock,320,45140,Adult,398,12,9,12,DHL,36.07,SupplyHub,China,4431,57,5340,Recheck
Sports,SKU2296,194,Out of Stock,819,4949,Adult,387,6,88,1,UPS,83.28,Prime Distributors,Egypt,9704,28,9205,Fail
Clothing,SKU2297,80,In Stock,745,42986,Senior,92,29,44,5,USPS,35.67,MegaCorp,Egypt,6928,33,7930,Fail
Sports,SKU2298,381,In Stock,689,15338,Adult,224,6,35,3,Aramex,14.63,SupplyHub,Egypt,7729,33,2887,Fail
Home,SKU2299,344,In Stock,876,49472,Adult,439,4,81,13,UPS,95.96,Global Supplies Inc.,India,4033,11,8142,Fail
Clothing,SKU2300,422,In Stock,253,36956,Senior,196,1,96,11,DHL,8.14,SupplyHub,Germany,3725,23,8530,Fail
Toys,SKU2301,198,In Stock,630,3343,Teen,84,8,79,3,FedEx,59.25,Global Supplies Inc.,USA,3108,32,6772,Fail
Clothing,SKU2302,488,In Stock,441,45918,Teen,434,12,82,8,Aramex,95.36,MegaCorp,India,5136,48,673,Recheck
Sports,SKU2303,316,Limited,365,488,Senior,59,29,78,7,UPS,22.19,MegaCorp,Egypt,265,32,6106,Pass
Clothing,SKU2304,398,In Stock,465,45158,Teen,384,20,75,2,DHL,72.1,MegaCorp,Germany,9463,17,3843,Pass
Electronics,SKU2305,229,Out of Stock,322,28811,Adult,484,4,73,2,FedEx,36.01,Global Supplies Inc.,USA,9355,7,3670,Pass
Clothing,SKU2306,488,In Stock,523,17571,Adult,499,10,39,2,FedEx,54.5,Global Supplies Inc.,India,8548,54,4776,Fail
Toys,SKU2307,337,In Stock,961,7251,Adult,208,12,53,8,USPS,55.16,SupplyHub,Egypt,6733,47,4113,Pass
Toys,SKU2308,58,In Stock,46,7261,Teen,310,25,93,3,USPS,23.59,Prime Distributors,Germany,1919,54,9259,Recheck
Home,SKU2309,325,In Stock,427,30689,Senior,421,29,74,12,Aramex,11.15,Prime Distributors,Egypt,5434,15,4304,Pass
Clothing,SKU2310,204,In Stock,713,833,Adult,31,17,63,8,DHL,14.73,Prime Distributors,USA,3209,26,2010,Pass
Toys,SKU2311,398,In Stock,578,43748,Senior,462,13,80,3,UPS,11.21,FastTrack Ltd.,India,4990,43,9917,Fail
Home,SKU2312,366,In Stock,295,11700,Senior,158,9,76,8,FedEx,26.27,MegaCorp,China,6364,7,8416,Recheck
Electronics,SKU2313,16,In Stock,871,40113,Adult,56,1,48,11,USPS,91.42,MegaCorp,India,1468,59,6799,Pass
Toys,SKU2314,239,In Stock,884,36992,Teen,274,1,36,6,DHL,40.83,SupplyHub,Egypt,306,26,3232,Pass
Clothing,SKU2315,477,In Stock,506,36531,Teen,388,29,90,8,USPS,30.09,SupplyHub,India,4418,24,6731,Fail
Sports,SKU2316,175,In Stock,387,15976,Adult,161,17,48,8,Aramex,56.22,FastTrack Ltd.,India,137,26,7704,Recheck
Sports,SKU2317,394,In Stock,626,28273,Adult,38,17,72,5,Aramex,30.88,Global Supplies Inc.,Egypt,1095,31,5477,Pass
Clothing,SKU2318,249,Out of Stock,540,36534,Teen,269,23,49,3,FedEx,76.91,Prime Distributors,USA,7638,20,5917,Recheck
Clothing,SKU2319,423,In Stock,981,26939,Adult,226,19,97,6,UPS,85.49,Global Supplies Inc.,USA,7469,36,4774,Recheck
Sports,SKU2320,474,In Stock,751,18948,Adult,274,3,63,7,Aramex,90.22,FastTrack Ltd.,Egypt,2905,3,3123,Fail
Clothing,SKU2321,11,In Stock,730,27457,Senior,277,25,56,2,Aramex,28.09,Global Supplies Inc.,USA,1428,42,8647,Fail
Sports,SKU2322,38,Out of Stock,477,41537,Teen,399,19,64,2,FedEx,9.35,MegaCorp,USA,8455,56,1561,Pass
Sports,SKU2323,403,Out of Stock,149,29303,Teen,176,16,95,3,Aramex,81.63,SupplyHub,Germany,8938,50,4348,Fail
Electronics,SKU2324,472,Limited,795,2672,Teen,381,25,82,13,FedEx,90.92,Prime Distributors,Germany,4873,40,970,Recheck
Electronics,SKU2325,183,In Stock,719,30086,Senior,291,19,60,13,USPS,44.64,Global Supplies Inc.,India,4489,41,6735,Pass
Toys,SKU2326,21,Out of Stock,141,13132,Teen,224,7,83,10,FedEx,83.1,Global Supplies Inc.,China,1802,32,5676,Pass
Toys,SKU2327,386,In Stock,921,8792,Teen,448,20,11,7,DHL,86.45,Global Supplies Inc.,Germany,6204,51,9209,Pass
Home,SKU2328,28,In Stock,357,47758,Teen,456,2,50,10,UPS,26.95,Prime Distributors,Egypt,9033,22,2851,Fail
Home,SKU2329,255,Out of Stock,797,27354,Adult,14,1,3,13,FedEx,98.73,SupplyHub,China,3944,26,3955,Fail
Electronics,SKU2330,448,In Stock,100,14792,Senior,102,4,47,1,USPS,23.15,FastTrack Ltd.,Germany,8685,8,5467,Fail
Home,SKU2331,100,In Stock,253,49621,Adult,73,15,33,11,USPS,71.81,Prime Distributors,China,4186,3,1781,Pass
Sports,SKU2332,275,In Stock,238,9604,Senior,219,14,16,10,Aramex,13.05,Global Supplies Inc.,India,6583,15,2844,Fail
Electronics,SKU2333,78,In Stock,93,10624,Teen,381,21,36,13,FedEx,65.92,Global Supplies Inc.,China,101,22,8089,Recheck
Home,SKU2334,92,In Stock,468,8476,Senior,126,29,65,8,DHL,14.97,MegaCorp,India,7208,12,6788,Fail
Electronics,SKU2335,169,In Stock,749,640,Adult,472,15,34,9,DHL,36.76,Global Supplies Inc.,India,4532,4,8068,Recheck
Toys,SKU2336,344,In Stock,123,37887,Senior,381,9,6,11,Aramex,74.12,FastTrack Ltd.,Germany,6204,21,4499,Recheck
Sports,SKU2337,95,In Stock,44,3142,Senior,296,14,20,10,Aramex,16.56,SupplyHub,Germany,9716,33,7692,Fail
Toys,SKU2338,305,In Stock,510,30784,Senior,465,20,22,13,Aramex,63.71,MegaCorp,Germany,5776,26,4360,Fail
Sports,SKU2339,329,In Stock,420,41882,Adult,498,23,13,4,DHL,99.26,Global Supplies Inc.,India,587,34,9554,Pass
Home,SKU2340,233,In Stock,829,18538,Senior,221,27,16,6,UPS,64.73,SupplyHub,USA,107,50,3908,Fail
Electronics,SKU2341,80,In Stock,779,45589,Adult,184,13,64,1,Aramex,17.24,MegaCorp,China,8702,15,238,Recheck
Sports,SKU2342,192,Limited,555,44916,Adult,371,29,78,8,USPS,57.36,Global Supplies Inc.,Egypt,4823,46,1839,Fail
Sports,SKU2343,100,In Stock,808,10548,Adult,311,15,77,8,UPS,8.62,Global Supplies Inc.,China,5793,49,6655,Recheck
Sports,SKU2344,224,Out of Stock,707,23460,Teen,358,11,74,5,UPS,66.87,FastTrack Ltd.,Egypt,2300,46,5816,Pass
Clothing,SKU2345,449,In Stock,583,13909,Senior,38,3,62,2,Aramex,37.35,Prime Distributors,USA,3907,47,2992,Fail
Electronics,SKU2346,149,In Stock,864,36799,Senior,140,13,47,6,Aramex,38.31,MegaCorp,Germany,2039,15,2785,Fail
Clothing,SKU2347,102,In Stock,112,6196,Adult,215,29,58,10,Aramex,10.95,Prime Distributors,China,2181,7,8252,Fail
Clothing,SKU2348,365,In Stock,319,33816,Teen,116,21,30,12,USPS,89.74,MegaCorp,USA,9690,12,9265,Recheck
Sports,SKU2349,288,Limited,500,46845,Adult,189,26,41,8,UPS,11.71,MegaCorp,Egypt,3104,27,8651,Pass
Toys,SKU2350,99,In Stock,967,31953,Adult,290,19,51,9,Aramex,44.24,MegaCorp,China,3358,29,1121,Pass
Sports,SKU2351,29,Out of Stock,823,39505,Adult,273,12,74,11,FedEx,5.04,FastTrack Ltd.,USA,4489,53,6372,Recheck
Electronics,SKU2352,401,In Stock,439,14774,Teen,435,25,12,5,DHL,34.23,Prime Distributors,China,5059,27,1882,Fail
Clothing,SKU2353,313,Limited,772,22619,Senior,174,3,93,9,Aramex,34.67,SupplyHub,India,2580,30,4265,Fail
Sports,SKU2354,305,In Stock,21,14046,Adult,482,14,82,11,DHL,24.44,MegaCorp,Germany,6949,30,6224,Fail
Clothing,SKU2355,241,In Stock,964,12936,Adult,158,11,97,5,UPS,83.05,Prime Distributors,India,9467,14,9105,Fail
Clothing,SKU2356,134,In Stock,829,9392,Teen,10,28,36,5,FedEx,40.9,MegaCorp,Egypt,3402,4,1451,Recheck
Toys,SKU2357,73,In Stock,75,37441,Adult,238,14,85,5,UPS,81.89,FastTrack Ltd.,USA,1154,44,9971,Recheck
Toys,SKU2358,315,Out of Stock,511,18932,Senior,286,5,64,6,DHL,17.36,FastTrack Ltd.,India,1388,44,8303,Fail
Clothing,SKU2359,344,In Stock,335,5880,Adult,305,5,89,2,USPS,60.56,MegaCorp,India,2867,44,5233,Recheck
Electronics,SKU2360,169,In Stock,985,28511,Adult,276,2,53,7,FedEx,14.04,SupplyHub,China,8598,6,4596,Pass
Toys,SKU2361,96,In Stock,331,20710,Adult,448,18,1,10,DHL,33.91,MegaCorp,Germany,3685,42,904,Recheck
Clothing,SKU2362,200,In Stock,956,46441,Senior,123,29,27,5,UPS,44.58,MegaCorp,Germany,5140,53,3299,Pass
Home,SKU2363,272,Out of Stock,911,13345,Adult,476,23,54,10,FedEx,71.83,MegaCorp,China,2299,51,4031,Fail
Electronics,SKU2364,308,In Stock,980,29106,Adult,69,17,35,12,UPS,40.11,MegaCorp,China,6543,41,3562,Fail
Clothing,SKU2365,11,In Stock,525,43411,Teen,405,2,8,4,FedEx,60.7,MegaCorp,Germany,6850,56,2788,Pass
Clothing,SKU2366,259,In Stock,257,11211,Teen,112,17,3,2,USPS,39.07,Prime Distributors,Egypt,5612,9,8798,Pass
Electronics,SKU2367,269,In Stock,603,44841,Teen,42,19,17,6,Aramex,46.35,Prime Distributors,Germany,2183,46,3568,Pass
Electronics,SKU2368,77,In Stock,928,23704,Senior,382,18,39,8,UPS,22.89,Global Supplies Inc.,Germany,5488,53,4553,Recheck
Electronics,SKU2369,413,Out of Stock,83,778,Senior,463,9,38,5,USPS,66.24,SupplyHub,Germany,7820,50,4296,Fail
Electronics,SKU2370,343,In Stock,184,12479,Senior,315,3,19,12,DHL,14.01,SupplyHub,Egypt,7540,20,9993,Pass
Electronics,SKU2371,304,In Stock,68,48990,Teen,140,27,87,7,Aramex,68.71,Global Supplies Inc.,Germany,2818,14,6826,Recheck
Toys,SKU2372,394,Out of Stock,754,299,Adult,6,1,38,4,DHL,87.56,SupplyHub,Egypt,4805,34,5215,Pass
Home,SKU2373,253,In Stock,498,25764,Senior,194,22,65,8,Aramex,45.68,FastTrack Ltd.,Egypt,9808,41,4073,Recheck
Sports,SKU2374,333,In Stock,356,20503,Senior,119,7,44,7,UPS,35.48,Global Supplies Inc.,Germany,2734,20,5000,Fail
Electronics,SKU2375,347,Out of Stock,590,27300,Adult,313,7,89,1,UPS,36.96,Global Supplies Inc.,India,2339,52,5548,Pass
Sports,SKU2376,463,In Stock,605,33969,Teen,447,5,86,7,Aramex,78.23,Global Supplies Inc.,India,3038,39,7696,Recheck
Clothing,SKU2377,397,In Stock,870,36463,Senior,153,28,94,7,UPS,46.27,Prime Distributors,USA,1644,48,9332,Fail
Sports,SKU2378,212,In Stock,34,46097,Adult,89,8,57,8,DHL,61.31,Prime Distributors,USA,974,12,6790,Fail
Clothing,SKU2379,433,In Stock,385,47857,Senior,471,14,47,8,USPS,98.31,Global Supplies Inc.,Germany,8842,45,6259,Fail
Sports,SKU2380,31,In Stock,166,48366,Adult,70,1,68,12,Aramex,40.31,Global Supplies Inc.,Egypt,3859,36,6215,Fail
Toys,SKU2381,198,In Stock,250,14449,Adult,206,4,68,13,USPS,83.73,Global Supplies Inc.,Germany,4031,57,8108,Pass
Toys,SKU2382,34,In Stock,475,20737,Teen,392,6,68,13,UPS,63.4,SupplyHub,India,9165,20,2765,Recheck
Sports,SKU2383,492,Limited,748,31531,Adult,385,26,80,7,USPS,15.86,FastTrack Ltd.,USA,4125,50,263,Recheck
Sports,SKU2384,482,In Stock,928,3987,Teen,292,28,87,4,DHL,89.82,MegaCorp,USA,1950,12,8489,Recheck
Home,SKU2385,453,In Stock,184,15373,Teen,378,2,38,10,Aramex,25.03,FastTrack Ltd.,USA,7726,33,5714,Fail
Toys,SKU2386,13,Limited,266,6138,Adult,417,22,2,13,UPS,85.36,MegaCorp,USA,3383,10,1092,Pass
Home,SKU2387,395,In Stock,71,30938,Senior,30,15,67,2,Aramex,15.47,Global Supplies Inc.,India,8084,19,6285,Pass
Electronics,SKU2388,96,In Stock,739,33546,Senior,255,6,29,12,Aramex,97.93,MegaCorp,India,5631,40,7079,Pass
Sports,SKU2389,328,In Stock,684,35817,Senior,99,17,32,11,USPS,33.74,FastTrack Ltd.,India,8871,37,3588,Recheck
Clothing,SKU2390,35,In Stock,786,10635,Teen,43,4,66,6,UPS,83.31,FastTrack Ltd.,Germany,9139,56,2422,Pass
Toys,SKU2391,246,In Stock,51,22369,Adult,219,22,8,6,UPS,37.78,MegaCorp,India,7584,12,6729,Recheck
Home,SKU2392,305,In Stock,564,33314,Teen,173,2,54,2,UPS,50.31,FastTrack Ltd.,India,2131,31,9253,Recheck
Electronics,SKU2393,398,In Stock,156,49556,Senior,283,3,39,11,DHL,28.22,FastTrack Ltd.,China,8018,39,2143,Pass
Electronics,SKU2394,298,In Stock,860,39666,Teen,212,2,56,6,FedEx,92.47,Prime Distributors,India,6152,26,3277,Recheck
Clothing,SKU2395,270,Limited,146,30472,Teen,284,26,72,8,DHL,36.58,MegaCorp,China,6760,26,837,Fail
Home,SKU2396,439,In Stock,895,4196,Teen,146,2,77,13,DHL,57.99,MegaCorp,Germany,1747,17,360,Recheck
Home,SKU2397,46,In Stock,502,29515,Teen,318,21,92,5,DHL,56.89,MegaCorp,China,1174,14,3025,Recheck
Home,SKU2398,133,In Stock,379,17528,Senior,245,27,28,12,UPS,76.95,MegaCorp,China,3448,59,6913,Recheck
Electronics,SKU2399,293,In Stock,280,7591,Senior,174,14,49,6,UPS,65.42,MegaCorp,India,8432,53,4392,Pass
Electronics,SKU2400,38,In Stock,324,8918,Teen,2,20,74,1,FedEx,65.6,Global Supplies Inc.,USA,1850,37,4495,Fail
Toys,SKU2401,436,Out of Stock,883,37013,Adult,98,11,59,8,UPS,11.0,FastTrack Ltd.,India,2103,57,2059,Pass
Clothing,SKU2402,202,In Stock,744,43126,Adult,41,29,40,5,FedEx,95.64,FastTrack Ltd.,India,3234,9,6068,Pass
Toys,SKU2403,453,In Stock,142,35485,Adult,444,24,75,5,UPS,74.1,MegaCorp,Egypt,7624,30,8690,Fail
Home,SKU2404,114,In Stock,381,45784,Senior,347,28,6,12,FedEx,93.8,Prime Distributors,Egypt,4263,35,7826,Fail
Toys,SKU2405,153,In Stock,970,20026,Teen,31,17,39,2,UPS,92.88,MegaCorp,China,9428,21,7618,Fail
Electronics,SKU2406,35,In Stock,821,887,Adult,370,27,20,8,FedEx,46.4,SupplyHub,China,3688,59,5483,Pass
Sports,SKU2407,109,In Stock,611,42939,Senior,6,20,16,3,USPS,83.39,Prime Distributors,USA,6591,43,6225,Recheck
Electronics,SKU2408,147,In Stock,535,10042,Teen,380,14,59,1,FedEx,18.77,Global Supplies Inc.,Germany,2106,43,1715,Fail
Clothing,SKU2409,396,In Stock,256,44474,Senior,222,5,4,4,Aramex,66.54,Prime Distributors,Germany,4256,10,4734,Recheck
Home,SKU2410,257,In Stock,576,35027,Adult,477,27,63,12,UPS,68.26,MegaCorp,Egypt,2661,15,8996,Pass
Electronics,SKU2411,315,Limited,938,34991,Senior,160,8,11,7,Aramex,11.14,SupplyHub,China,5804,25,1501,Fail
Electronics,SKU2412,455,In Stock,318,1509,Teen,419,26,53,12,Aramex,52.61,Global Supplies Inc.,USA,5712,44,7857,Fail
Toys,SKU2413,159,In Stock,234,16993,Adult,168,18,70,9,DHL,70.56,SupplyHub,USA,1382,44,2267,Fail
Clothing,SKU2414,442,In Stock,670,41874,Teen,204,3,4,4,DHL,6.0,SupplyHub,India,3411,18,5218,Pass
Clothing,SKU2415,22,In Stock,99,22988,Senior,304,11,26,7,USPS,33.32,MegaCorp,Egypt,5591,5,1833,Recheck
Toys,SKU2416,27,In Stock,834,46365,Adult,175,20,1,11,FedEx,6.12,MegaCorp,USA,6731,8,9046,Recheck
Sports,SKU2417,296,In Stock,486,26787,Teen,429,29,33,10,Aramex,50.55,SupplyHub,China,967,56,3537,Pass
Sports,SKU2418,432,In Stock,640,34071,Adult,145,6,57,12,USPS,22.21,Prime Distributors,Egypt,3615,34,3794,Recheck
Sports,SKU2419,182,Limited,960,3736,Teen,48,2,18,13,USPS,40.52,MegaCorp,China,4709,45,7464,Fail
Electronics,SKU2420,412,In Stock,825,26078,Adult,1,6,86,1,USPS,99.93,Global Supplies Inc.,USA,4947,37,2451,Pass
Sports,SKU2421,77,In Stock,622,16728,Senior,238,4,57,4,USPS,31.28,FastTrack Ltd.,India,9964,48,8764,Pass
Clothing,SKU2422,107,Out of Stock,383,49032,Teen,246,5,20,8,UPS,68.61,Global Supplies Inc.,Egypt,8231,52,4826,Recheck
Toys,SKU2423,332,In Stock,117,29693,Senior,177,11,34,12,Aramex,23.64,SupplyHub,Germany,2306,28,9889,Fail
Toys,SKU2424,204,Limited,715,527,Teen,418,1,92,5,Aramex,54.07,Global Supplies Inc.,Egypt,9845,30,4335,Fail
Electronics,SKU2425,259,Out of Stock,58,35548,Adult,273,18,16,8,DHL,75.68,SupplyHub,Egypt,1719,47,3986,Recheck
Electronics,SKU2426,119,In Stock,820,40855,Senior,268,13,93,3,Aramex,59.44,Global Supplies Inc.,India,7553,27,4908,Fail
Clothing,SKU2427,262,In Stock,713,33984,Senior,255,29,99,6,UPS,96.99,MegaCorp,China,2072,32,7278,Pass
Toys,SKU2428,28,In Stock,25,21744,Teen,397,29,27,13,FedEx,84.03,Global Supplies Inc.,Egypt,2853,9,5613,Recheck
Electronics,SKU2429,241,In Stock,321,37942,Teen,127,3,11,9,USPS,51.52,MegaCorp,China,1486,1,8181,Fail
Sports,SKU2430,321,Out of Stock,650,38323,Adult,184,11,94,7,UPS,56.34,FastTrack Ltd.,Germany,9971,46,406,Pass
Electronics,SKU2431,295,In Stock,95,32760,Teen,397,6,16,10,USPS,40.13,SupplyHub,China,6655,16,5267,Recheck
Clothing,SKU2432,78,In Stock,853,48890,Senior,224,25,47,4,DHL,82.21,MegaCorp,China,6248,52,5358,Recheck
Toys,SKU2433,233,In Stock,381,31225,Adult,237,15,61,7,UPS,81.05,Global Supplies Inc.,China,3075,51,9122,Recheck
Home,SKU2434,152,In Stock,513,21300,Teen,271,19,97,1,USPS,71.73,FastTrack Ltd.,India,4668,16,1568,Recheck
Electronics,SKU2435,201,Limited,717,27791,Senior,416,28,40,6,DHL,86.77,SupplyHub,Egypt,3929,39,8687,Recheck
Sports,SKU2436,94,Out of Stock,730,2840,Senior,144,7,56,9,FedEx,29.01,SupplyHub,China,1412,36,3408,Recheck
Sports,SKU2437,220,Limited,757,2330,Senior,120,12,28,10,Aramex,24.38,FastTrack Ltd.,China,4752,47,1039,Pass
Electronics,SKU2438,402,In Stock,21,9158,Adult,475,19,27,5,FedEx,51.32,SupplyHub,Egypt,6815,6,5808,Pass
Sports,SKU2439,439,In Stock,674,43918,Teen,242,15,53,6,USPS,44.17,Prime Distributors,USA,7625,9,9059,Fail
Sports,SKU2440,33,In Stock,371,4871,Senior,148,4,62,5,USPS,36.15,SupplyHub,Germany,2248,15,1685,Recheck
Toys,SKU2441,93,In Stock,834,46305,Teen,35,29,60,13,Aramex,28.82,MegaCorp,Egypt,5452,32,7721,Fail
Sports,SKU2442,386,In Stock,510,24950,Adult,359,3,83,2,UPS,82.75,FastTrack Ltd.,China,9342,6,8711,Recheck
Home,SKU2443,95,In Stock,951,3058,Senior,101,21,32,6,DHL,37.62,Prime Distributors,Egypt,1228,52,5434,Pass
Electronics,SKU2444,288,Limited,898,4046,Adult,128,2,38,12,DHL,94.81,Global Supplies Inc.,Germany,1685,13,6463,Recheck
Home,SKU2445,182,In Stock,404,15507,Teen,46,21,83,5,DHL,88.5,Prime Distributors,USA,5773,24,9475,Recheck
Electronics,SKU2446,33,Limited,659,30236,Teen,318,14,98,9,DHL,67.6,FastTrack Ltd.,Egypt,1739,55,2679,Recheck
Toys,SKU2447,411,In Stock,141,29814,Teen,136,15,45,11,Aramex,30.8,MegaCorp,Germany,3265,42,5983,Pass
Electronics,SKU2448,309,In Stock,834,48271,Senior,14,4,26,11,USPS,37.67,Global Supplies Inc.,Germany,6458,45,1253,Pass
Sports,SKU2449,10,Out of Stock,773,27707,Teen,398,3,6,8,Aramex,80.14,FastTrack Ltd.,India,9146,37,6612,Pass
Clothing,SKU2450,54,In Stock,533,36762,Senior,436,14,42,3,USPS,19.23,Global Supplies Inc.,India,1158,16,8431,Recheck
Clothing,SKU2451,327,Out of Stock,728,40836,Senior,451,29,34,6,Aramex,56.53,SupplyHub,China,4252,59,8061,Pass
Clothing,SKU2452,80,In Stock,145,14810,Senior,402,23,92,10,USPS,17.37,FastTrack Ltd.,India,1641,56,3599,Fail
Clothing,SKU2453,390,In Stock,562,40327,Adult,272,5,37,9,Aramex,56.96,Global Supplies Inc.,Germany,8802,47,801,Recheck
Home,SKU2454,110,Out of Stock,453,43412,Adult,167,1,86,5,Aramex,56.35,FastTrack Ltd.,India,6057,22,6293,Recheck
Sports,SKU2455,223,In Stock,205,42819,Adult,438,8,11,1,USPS,29.28,SupplyHub,India,3753,43,5286,Pass
Sports,SKU2456,482,In Stock,981,659,Teen,347,13,1,2,FedEx,82.52,Prime Distributors,India,4602,19,1773,Recheck
Sports,SKU2457,267,In Stock,634,40701,Adult,226,17,53,13,USPS,73.87,MegaCorp,USA,3698,16,3794,Pass
Sports,SKU2458,33,Out of Stock,672,24039,Adult,149,2,82,10,UPS,20.91,Prime Distributors,Germany,9730,50,4403,Fail
Clothing,SKU2459,25,Limited,126,18937,Teen,313,18,85,3,Aramex,11.15,SupplyHub,China,5410,20,5884,Pass
Electronics,SKU2460,145,In Stock,320,29335,Teen,452,3,65,13,UPS,50.64,Global Supplies Inc.,Egypt,4353,19,3149,Fail
Electronics,SKU2461,50,In Stock,932,37538,Senior,236,10,22,5,DHL,48.71,FastTrack Ltd.,Germany,3151,19,4450,Recheck
Electronics,SKU2462,103,In Stock,42,30608,Adult,356,18,63,10,USPS,72.93,FastTrack Ltd.,Germany,3959,49,4667,Fail
Sports,SKU2463,474,Out of Stock,958,20466,Senior,400,20,12,11,USPS,14.94,Global Supplies Inc.,Germany,4806,16,7104,Pass
Toys,SKU2464,235,In Stock,463,42448,Senior,106,6,24,7,USPS,57.77,FastTrack Ltd.,Germany,3499,46,4469,Fail
Sports,SKU2465,15,Limited,246,44060,Teen,73,7,47,6,DHL,33.74,Global Supplies Inc.,USA,9672,52,9771,Pass
Home,SKU2466,215,In Stock,275,26324,Adult,356,13,29,12,FedEx,99.18,Prime Distributors,China,7055,30,8961,Fail
Sports,SKU2467,258,In Stock,865,46617,Senior,257,18,85,9,Aramex,94.61,FastTrack Ltd.,Germany,8015,58,7345,Recheck
Clothing,SKU2468,33,Limited,171,43295,Senior,163,22,6,10,Aramex,41.62,MegaCorp,Egypt,8498,2,4732,Recheck
Sports,SKU2469,11,Limited,220,2229,Adult,334,26,31,4,UPS,85.67,Prime Distributors,USA,1397,28,822,Recheck
Toys,SKU2470,247,In Stock,114,16966,Adult,434,23,32,10,UPS,8.89,MegaCorp,India,7731,40,1262,Fail
Home,SKU2471,378,In Stock,576,316,Adult,445,12,42,2,Aramex,10.94,FastTrack Ltd.,India,6790,27,3715,Recheck
Toys,SKU2472,74,In Stock,4,17411,Adult,381,10,99,6,USPS,93.08,Prime Distributors,Germany,290,59,7113,Pass
Electronics,SKU2473,35,Limited,63,49424,Teen,399,20,30,11,USPS,90.85,MegaCorp,Egypt,6285,57,2574,Fail
Home,SKU2474,411,Out of Stock,206,10953,Adult,246,19,77,5,Aramex,80.32,MegaCorp,Egypt,2054,56,8549,Recheck
